fecha,barrio,formacion,total,mujer,varon
"2020-12-01","La Alhóndiga","B.Superior.BUP,COU","2777","1468","1309"
"2020-12-01","La Alhóndiga","Otras titulaciones medias","190","120","70"
"2020-12-01","La Alhóndiga","Diplomados","480","343","137"
"2020-12-01","La Alhóndiga","Arquitecto, Ingeniero Tec","155","44","111"
"2020-12-01","La Alhóndiga","Licenciado Universitario","1723","1015","708"
"2020-12-01","La Alhóndiga","Estudios superiores no Un","42","17","25"
"2020-12-01","La Alhóndiga","Doctorado Postgrado","364","212","152"
"2020-12-01","La Alhóndiga","Valor Desconocido","26","9","17"
"2020-12-01","Las Margaritas","Menores de 16","1907","920","987"
"2020-12-01","Las Margaritas","No sabe leer ni escribir","72","48","24"
"2020-12-01","Las Margaritas","Sin Estudios","827","511","316"
"2020-12-01","Las Margaritas","Enseñanza Primaria incomp","1589","855","734"
"2020-12-01","Las Margaritas","Enseñanza Secundaria","2819","1372","1447"
"2020-12-01","Las Margaritas","FP1 Grado Medio","544","259","285"
"2020-12-01","Las Margaritas","FP2 Grado Superior","465","176","289"
"2020-12-01","Las Margaritas","B.Superior.BUP,COU","1455","732","723"
"2020-12-01","Las Margaritas","Otras titulaciones medias","91","69","22"
"2020-12-01","Las Margaritas","Diplomados","231","164","67"
"2020-12-01","Las Margaritas","Arquitecto, Ingeniero Tec","77","25","52"
"2020-12-01","Las Margaritas","Licenciado Universitario","1054","622","432"
"2020-12-01","Las Margaritas","Estudios superiores no Un","28","15","13"
"2020-12-01","Las Margaritas","Doctorado Postgrado","231","137","94"
"2020-12-01","Las Margaritas","Valor Desconocido","19","14","5"
"2020-12-01","Los Molinos","Menores de 16","2890","1376","1514"
"2020-12-01","Los Molinos","No sabe leer ni escribir","2","2",
"2020-12-01","Los Molinos","Sin Estudios","64","28","36"
"2020-12-01","Los Molinos","Enseñanza Primaria incomp","252","120","132"
"2020-12-01","Los Molinos","Enseñanza Secundaria","1309","532","777"
"2020-12-01","Los Molinos","FP1 Grado Medio","736","299","437"
"2020-12-01","Los Molinos","FP2 Grado Superior","891","352","539"
"2020-12-01","Los Molinos","B.Superior.BUP,COU","1075","487","588"
"2020-12-01","Los Molinos","Otras titulaciones medias","88","54","34"
"2020-12-01","Los Molinos","Diplomados","667","489","178"
"2020-12-01","Los Molinos","Arquitecto, Ingeniero Tec","280","66","214"
"2020-12-01","Los Molinos","Licenciado Universitario","1571","947","624"
"2020-12-01","Los Molinos","Estudios superiores no Un","50","27","23"
"2020-12-01","Los Molinos","Doctorado Postgrado","402","248","154"
"2020-12-01","Perales del Rio","Menores de 16","2160","1018","1142"
"2020-12-01","Perales del Rio","No sabe leer ni escribir","42","27","15"
"2020-12-01","Perales del Rio","Sin Estudios","244","136","108"
"2020-12-01","Perales del Rio","Enseñanza Primaria incomp","897","455","442"
"2020-12-01","Perales del Rio","Enseñanza Secundaria","2152","1058","1094"
"2020-12-01","Perales del Rio","FP1 Grado Medio","583","275","308"
"2020-12-01","Perales del Rio","FP2 Grado Superior","656","274","382"
"2020-12-01","Perales del Rio","B.Superior.BUP,COU","1347","699","648"
"2020-12-01","Perales del Rio","Otras titulaciones medias","147","82","65"
"2020-12-01","Perales del Rio","Diplomados","318","226","92"
"2020-12-01","Perales del Rio","Arquitecto, Ingeniero Tec","82","24","58"
"2020-12-01","Perales del Rio","Licenciado Universitario","1026","602","424"
"2020-12-01","Perales del Rio","Estudios superiores no Un","33","19","14"
"2020-12-01","Perales del Rio","Doctorado Postgrado","206","115","91"
"2020-12-01","Perales del Rio","Valor Desconocido","15","8","7"
"2020-12-01","San Isidro","Menores de 16","1235","566","669"
"2020-12-01","San Isidro","No sabe leer ni escribir","171","94","77"
"2020-12-01","San Isidro","Sin Estudios","758","454","304"
"2020-12-01","San Isidro","Enseñanza Primaria incomp","1594","857","737"
"2020-12-01","San Isidro","Enseñanza Secundaria","2345","1119","1226"
"2020-12-01","San Isidro","FP1 Grado Medio","461","202","259"
"2020-12-01","San Isidro","FP2 Grado Superior","456","193","263"
"2020-12-01","San Isidro","B.Superior.BUP,COU","934","496","438"
"2020-12-01","San Isidro","Otras titulaciones medias","69","41","28"
"2020-12-01","San Isidro","Diplomados","125","87","38"
"2020-12-01","San Isidro","Arquitecto, Ingeniero Tec","47","12","35"
"2020-12-01","San Isidro","Licenciado Universitario","457","272","185"
"2020-12-01","San Isidro","Estudios superiores no Un","8","4","4"
"2020-12-01","San Isidro","Doctorado Postgrado","76","39","37"
"2020-12-01","San Isidro","Valor Desconocido","14","10","4"
"2020-12-01","Sector III","Menores de 16","2606","1244","1362"
"2020-12-01","Sector III","No sabe leer ni escribir","106","51","55"
"2020-12-01","Sector III","Sin Estudios","803","523","280"
"2020-12-01","Sector III","Enseñanza Primaria incomp","2808","1585","1223"
"2020-12-01","Sector III","Enseñanza Secundaria","4244","2140","2104"
"2020-12-01","Sector III","FP1 Grado Medio","1189","513","676"
"2020-12-01","Sector III","FP2 Grado Superior","1235","406","829"
"2020-12-01","Sector III","B.Superior.BUP,COU","2709","1330","1379"
"2020-12-01","Sector III","Otras titulaciones medias","546","318","228"
"2020-12-01","Sector III","Diplomados","535","400","135"
"2020-12-01","Sector III","Arquitecto, Ingeniero Tec","191","63","128"
"2020-12-01","Sector III","Licenciado Universitario","2618","1355","1263"
"2020-12-01","Sector III","Estudios superiores no Un","27","5","22"
"2020-12-01","Sector III","Doctorado Postgrado","479","266","213"
"2020-12-01","Sector III","Valor Desconocido","84","30","54"
"2021-01-01","Buenavista","Menores de 16","2828","1340","1488"
"2021-01-01","Buenavista","No sabe leer ni escribir","1","1",
"2021-01-01","Buenavista","Sin Estudios","55","32","23"
"2021-01-01","Buenavista","Enseñanza Primaria incomp","232","106","126"
"2021-01-01","Buenavista","Enseñanza Secundaria","1348","529","819"
"2021-01-01","Buenavista","FP1 Grado Medio","776","331","445"
"2021-01-01","Buenavista","FP2 Grado Superior","807","333","474"
"2021-01-01","Buenavista","B.Superior.BUP,COU","1148","533","615"
"2021-01-01","Buenavista","Otras titulaciones medias","52","28","24"
"2021-01-01","Buenavista","Diplomados","682","490","192"
"2021-01-01","Buenavista","Arquitecto, Ingeniero Tec","222","64","158"
"2021-01-01","Buenavista","Licenciado Universitario","1449","888","561"
"2021-01-01","Buenavista","Estudios superiores no Un","36","13","23"
"2021-01-01","Buenavista","Doctorado Postgrado","379","237","142"
"2021-01-01","Centro","Menores de 16","4380","2154","2226"
"2021-01-01","Centro","No sabe leer ni escribir","140","96","44"
"2021-01-01","Centro","Sin Estudios","1731","1072","659"
"2021-01-01","Centro","Enseñanza Primaria incomp","4567","2601","1966"
"2021-01-01","Centro","Enseñanza Secundaria","7650","3886","3764"
"2021-01-01","Centro","FP1 Grado Medio","1633","701","932"
